App Name,App ID,Workspace ID,Organization ID,App Token,Description,Webhook Priority
customers,30429788,Pending,Pending,Pending,"Stores all client information (name, contact, company details). The central hub for linking to devices, tickets, services, and plans.",High
devices,30429789,Pending,Pending,Pending,"Registers computers, laptops, or equipment linked to a customer. Tracks specifications, status, and service history.",High
services,30429812,Pending,Pending,Pending,"Registers  services (repairs, maintenance, upgrades). related to customers and also to the devices (which are also related to the customer)",Medium
service_or_spare_part,30429856,Pending,Pending,Pending,"Manages spare parts inventory (screens, batteries, SSDs, etc.) and associates them with services when replacements are needed.",Medium
store,30429881,Pending,Pending,Pending,Tracks computers for sale (new and reconditioned units). Helps manage computers sales pipeline and stock.,Medium
gamer,30429901,Pending,Pending,Pending,"Stores information of quotations and/or warranties about custom PC builds or gaming setups , this is because this kind of computer have different serial in each spare part.",Low
acquired_devices,30429926,Pending,Pending,Pending,Registers devices purchased from clients (for refurbishing or resale). Keeps acquisition cost and refurbishment details.,Medium
quotations,30429927,Pending,Pending,Pending,"Generates and manages service or product quotes for customers. Can include services, parts, or devices from inventory.",High
plans,30429978,Pending,Pending,Pending,"Holds information about IT service plans, warranties, or maintenance contracts offered to customers.",Medium
tickets,30452168,Pending,Pending,Pending,"Tracks business customer services requests/issues. Links to customers, devices, services, and plans. Core app for day-to-day support.",High
appointments,30432187,Pending,Pending,Pending,"Manages scheduled visits, repairs, or customer meetings. Syncs with tickets or sales processes.",Medium
students,30432041,Pending,Pending,Pending,Registers individuals enrolled in Kupper’s training programs for technicians.,Medium
courses,30432042,Pending,Pending,Pending,"Catalog of training programs (e.g., hardware repair, networking, gaming PC assembly).",Low
classes,30432049,Pending,Pending,Pending,"Specific sessions for a course (date, time, instructor, enrolled students).",Medium
enrollments,30432051,Pending,Pending,Pending,"Connects students to courses/classes. Tracks payments, attendance, and progress.",Low
chapters,30451972,Pending,Pending,Pending,Divides courses into structured learning units (modules or topics) for curriculum management.,Low
technicians,30588065,Pending,Pending,390a81efa05b78ba46cc6204b378e212,Saves technician whatsapp and related services,
,,,,,,
"Field Label ""customers""",Field Type,External ID,Field ID,Sample Value,Requiered,
name,text,name,273689461,"""name"": ""sample_value""",yes,
recipient,text,recipient,273431882,"""recipient"": ""sample_value""",yes,
phone,phone,phone,273431883,"""phone"": [{ ""type"": ""mobile|work|home|main|work_fax|private|fax|other"", ""value"": ""+4500000000"" }, ...]",no,
email,email,email,273431884,"""email"": [{ ""type"": ""other|home|work"", ""value"": ""mail@example.com"" }, ...]",yes,
type,category,type,273431886,"""type"": integer_value_of_option",yes,
address,location,address,273431885,"""address"": ""650 Townsend St., San Francisco, CA 94103""",no,
whatsapp,calculation,whatsapp,273431888,"""whatsapp"":""525541575869""",no,
auth0_id,text,auth0_id,275212807,"""auth0id"": ""sample_value""",no,
,,,,,,
"Field Label ""devices""",Field Type,External ID,Field ID,Sample Value,Requiered,
customer,app,customer,273431902,"""customer"": item_id_of_reference",yes,
brand&model,text,brandmodel,273431903,"""brandmodel"": ""sample_value""",yes,
type,category,type,273431904,"""type"": integer_value_of_option",yes,
password,text,password,273431906,"""password"": ""sample_value""",no,
serial,text,serial,273431907,"""serial"": ""sample_value""",no,
department_or_contact,text,departmentorcontact,273431905,"""departmentorcontact"": ""sample_value""",no,
status,category,status,273665126,"""status"": integer_value_of_option",no,
next_maintenance,date,nextmaintenance,273684706,"""nextmaintenance"": {""start"":""2011-12-31 11:27:10"",""end"":""2012-01-31 11:28:20""}",no,
,,,,,,
,,,,,,
"Field Label ""services""",Field Type,External ID,Field ID,Sample Value,Requiered,
customer,app,customer,273432337,"""customer"": item_id_of_reference",yes,
device,app,device,273432338,"""device"": item_id_of_reference",yes,
status,category,status,273432339,"""status"": integer_value_of_option",yes,
date,date,date,273432340,"""date"": {""start"":""2011-12-31 11:27:10"",""end"":""2012-01-31 11:28:20""}",yes,
service_type,category,servicetype,273458867,"""servicetype"": integer_value_of_option",yes,
observations,text,observations,273432341,"""observations"": ""sample_value""",no,
power_adapter,category,poweradapter,273432342,"""poweradapter"": integer_value_of_option",no,
service_or_spare_part,app,serviceorsparepart,275215327,"""serviceorsparepart"": item_id_of_reference",,
technician,app,technician,275215328,"""technician"": item_id_of_reference",,
accessories,text,accessories,273432343,"""accessories"": ""sample_value""",no,
data_backup,category,databackup,273432344,"""databackup"": integer_value_of_option",no,
advance_payment,money,advancepayment,273432345,"""advancepayment"": {""value"":""123.00"",""currency"":""MXN""}",no,
performed_services,category,performedservices,273432346,"""performedservices"": integer_value_of_option",no,
rendered_services,calculation,renderedservices,273432347,"""renderedservices"": ""sample_value""",no,
diagnosis,text,diagnosis,273432348,"""diagnosis"": ""sample_value""",no,
year&month,calculation,yearmonth,273608935,"""yearmonth"": ""sample_value""",no,
reminder,calculation,reminder,273656135,"""reminder"": ""sample_value""",no,
service_under_30_min,calculation,serviceunder30min,273665123,"""serviceunder30min"": ""sample_value""",no,
,,,,,,
,,,,,,
"Field Label ""service_or_spare_part""",Field Type,External ID,Field ID,Sample Value,Requiered,
description,text,description,273747620,"""description"": ""sample_value""",yes,
quantity,number,quantity,273432443,"""quantity"": 123",yes,
warranty,text,warranty,273432444,"""warranty"": ""sample_value""",yes,
observations,text,observations,273432445,"""observations"": ""sample_value""",no,
price,money,price,273432446,"""price"": {""value"":""123.00"",""currency"":""MXN""}",yes,
total,calculation,total,273432447,"""total"": ""sample_value""",no,
cost,money,cost,273432448,"""cost"": {""value"":""123.00"",""currency"":""MXN""}",yes,
profit,calculation,profit,273432449,"""profit"": ""sample_value""",no,
,,,,,,
,,,,,,
"Field Label ""store""",Field Type,External ID,Field ID,Sample Value,Requiered,
customer,app,customer,273432773,"""customer"": item_id_of_reference",yes,
speed,category,speed,273432774,"""speed"": integer_value_of_option",no,
warranty,category,warranty,273432796,"""warranty"": integer_value_of_option",no,
condition,category,condition,273432775,"""condition"": integer_value_of_option",no,
date,date,date,273432776,"""date"": {""start"":""2011-12-31 11:27:10"",""end"":""2012-01-31 11:28:20""}",no,
action,category,action,273432777,"""action"": integer_value_of_option",no,
brand&model,text,brandmodel,273747555,"""brandmodel"": ""sample_value""",yes,
price,money,price,273432797,"""price"": {""value"":""123.00"",""currency"":""MXN""}",yes,
processor_model&clock,text,processormodelclock,273432778,"""processormodelclock"": ""sample_value""",no,
sticker,category,sticker,273432795,"""sticker"": integer_value_of_option",no,
ram,text,ram,273432779,"""ram"": ""sample_value""",no,
ssd,text,ssd,273432780,"""ssd"": ""sample_value""",no,
plus_1tb,category,plus1tb,273432781,"""plus1tb"": integer_value_of_option",no,
touchscreen,category,touchscreen,273432782,"""touchscreen"": integer_value_of_option",no,
fingerprint,category,fingerprint,273432783,"""fingerprint"": integer_value_of_option",no,
webcam,category,webcam,273432784,"""webcam"": integer_value_of_option",no,
numpad,category,numpad,273432787,"""numpad"": integer_value_of_option",no,
ethernet,category,ethernet,273432788,"""ethernet"": integer_value_of_option",no,
video_output,category,videooutput,273432789,"""videooutput"": integer_value_of_option",no,
usb_a_ports,category,usbaports,273432785,"""usbaports"": integer_value_of_option",no,
operative_system,category,operativesystem,273432794,"""operativesystem"": integer_value_of_option",no,
battery_cycle_count,text,batterycyclecount,273432790,"""batterycyclecount"": ""sample_value""",no,
graphics,text,graphics,273432793,"""graphics"": ""sample_value""",no,
display_size,text,displaysize,273432792,"""displaysize"": ""sample_value""",no,
display_resolution,text,displayresolution,273432791,"""displayresolution"": ""sample_value""",no,
usb_c_ports,category,usbcports,273432786,"""usbcports"": integer_value_of_option",no,
device_in _exchange,app,devicein-exchange,273432798,"""devicein-exchange"": item_id_of_reference",no,
price_of_device_exchange,money,priceofdeviceexchange,273432799,"""priceofdeviceexchange"": {""value"":""123.00"",""currency"":""MXN""}",no,
updated_price_with_exchange,calculation,updatedpricewithexchange,273432800,"""updatedpricewithexchange"": ""sample_value""",no,
,,,,,,
,,,,,,
"Field Label ""gamer""",Field Type,External ID,Field ID,Sample Value,Requiered,
customer,app,customer,273432815,"""customer"": item_id_of_reference",yes,
date,date,date-2,273432854,"""date-2"": {""start"":""2011-12-31 11:27:10"",""end"":""2012-01-31 11:28:20""}",yes,
expiration_period,date,date,273432816,"""date"": {""start"":""2011-12-31 11:27:10"",""end"":""2012-01-31 11:28:20""}",yes,
action,category,action,273432814,"""action"": integer_value_of_option",no,
price,money,price,273432869,"""price"": {""value"":""123.00"",""currency"":""MXN""}",yes,
advance_payment,money,advancepayment,273432870,"""advancepayment"": {""value"":""123.00"",""currency"":""MXN""}",no,
sticker,category,sticker,273432867,"""sticker"": integer_value_of_option",no,
warranty,text,warranty,273432868,"""warranty"": ""sample_value""",no,
motherboard,app,motherboard,273432855,"""motherboard"": item_id_of_reference",no,
ram,app,ram,273432856,"""ram"": item_id_of_reference",no,
processor,app,processor,273432857,"""processor"": item_id_of_reference",no,
storage,app,storage,273432858,"""storage"": item_id_of_reference",no,
power_supply,app,powersupply,273432859,"""powersupply"": item_id_of_reference",no,
cooling_system,app,coolingsystem,273432860,"""coolingsystem"": item_id_of_reference",no,
graphics_card,app,graphicscard,273432861,"""graphicscard"": item_id_of_reference",no,
case,app,case,273432862,"""case"": item_id_of_reference",no,
monitor,app,monitor,273432863,"""monitor"": item_id_of_reference",no,
